Run,TotalCompleted,TotalRejected,TotalProducts,AvgWaitingTime,FaultyRate,SupplierOccupancy,WS0_Occupancy,WS0_Downtime,WS1_Occupancy,WS1_Downtime,WS2_Occupancy,WS2_Downtime,WS3_Occupancy,WS3_Downtime,WS4_Occupancy,WS4_Downtime,WS5_Occupancy,WS5_Downtime
105,1168,55,1223,2292.65,4.5,3.27,100.04,12.0,98.8,1.52,99.65,33.36,53.26,27.38,45.7,29.52,99.21,41.16
106,1148,73,1221,2308.31,5.98,3.22,100.02,17.93,98.72,11.53,99.38,18.16,48.48,29.96,50.66,11.77,98.67,41.27
107,1163,64,1227,2292.27,5.22,3.33,100.01,7.67,99.16,13.88,99.15,29.78,50.27,46.21,47.81,36.26,98.64,24.83
108,1154,70,1224,2308.19,5.72,3.31,100.0,22.94,98.41,7.23,99.09,45.61,47.72,42.14,49.9,21.89,97.22,56.01
109,1162,59,1221,2277.37,4.83,3.18,100.07,29.37,98.25,7.3,98.65,34.73,49.35,41.92,47.24,26.86,97.04,31.32
110,1168,58,1226,2264.17,4.73,3.27,100.07,5.28,99.06,4.81,99.11,25.79,50.68,60.86,49.36,22.55,98.27,84.5
111,1166,63,1229,2245.38,5.13,3.2,100.05,6.31,99.46,3.77,99.04,70.88,49.51,32.76,49.34,21.95,98.02,30.01
112,1161,60,1221,2311.99,4.91,3.21,100.0,19.27,99.61,11.58,98.5,18.36,49.2,33.19,49.8,32.29,96.79,56.23
113,1163,54,1217,2339.38,4.44,3.36,100.07,3.47,98.55,4.16,98.49,19.4,50.81,36.92,48.85,17.77,98.37,35.53
114,1170,54,1224,2301.73,4.41,3.33,100.04,18.85,98.87,11.33,98.33,55.24,50.12,49.67,47.0,38.64,98.47,35.94
115,1167,63,1230,2260.96,5.12,3.28,100.08,26.74,99.26,6.19,98.56,59.74,49.9,57.61,48.73,8.43,97.25,41.13
116,1167,53,1220,2324.83,4.34,3.25,99.99,10.45,99.18,8.56,99.29,52.95,48.16,32.6,48.85,27.16,97.22,58.48
117,1161,60,1221,2309.3,4.91,3.23,100.01,18.8,99.93,3.94,97.79,23.14,49.63,104.39,48.98,19.31,98.14,31.07
118,1179,53,1232,2294.45,4.3,3.23,100.04,13.81,99.56,6.38,98.75,44.18,49.28,67.92,50.28,23.79,98.79,92.5
119,1175,50,1225,2325.95,4.08,3.24,100.04,21.44,99.62,0.0,99.76,41.93,50.27,50.94,49.18,25.23,98.12,33.05
120,1142,68,1210,2374.75,5.62,3.25,100.06,24.4,99.51,2.64,97.78,29.91,50.14,84.65,47.86,40.72,96.75,43.54
121,1172,58,1230,2302.53,4.72,3.18,100.03,14.88,99.73,4.78,98.75,30.63,50.8,88.6,47.08,38.5,97.91,58.79
122,1147,70,1217,2298.58,5.75,3.25,99.98,16.19,99.92,0.0,98.32,33.61,49.56,62.68,49.84,13.32,97.75,32.77
123,1172,50,1222,2281.4,4.09,3.3,100.07,12.33,98.68,0.0,98.09,13.81,46.73,40.41,51.64,16.77,98.91,53.07
124,1156,63,1219,2285.0,5.17,3.2,100.05,16.89,99.85,5.15,97.55,47.59,52.11,68.1,46.07,6.22,96.31,49.62
125,1151,65,1216,2307.6,5.35,3.2,100.02,4.25,99.31,8.81,98.19,27.44,46.81,44.39,50.56,21.6,97.48,51.55
126,1166,52,1218,2371.95,4.27,3.32,100.01,16.29,99.89,0.98,98.96,43.69,47.5,46.16,50.14,34.72,97.0,27.5
127,1162,61,1223,2278.91,4.99,3.29,100.02,11.79,98.85,7.86,98.82,41.21,51.12,86.99,47.46,35.87,98.46,31.41
128,1180,51,1231,2269.95,4.14,3.34,100.03,2.48,98.54,4.83,98.94,33.85,49.9,59.28,49.49,66.5,98.94,48.73
129,1156,61,1217,2335.22,5.01,3.28,99.96,9.33,99.88,24.62,99.24,44.35,49.94,45.99,47.89,11.49,97.97,34.3
130,1180,55,1235,2274.64,4.45,3.31,100.03,6.89,99.88,6.28,98.26,32.94,50.28,65.14,47.53,22.28,98.26,50.17
131,1168,65,1233,2318.6,5.27,3.24,100.08,7.96,99.94,9.12,99.22,49.24,49.5,23.7,49.06,31.25,98.51,35.08
132,1150,73,1223,2298.82,5.97,3.33,100.02,3.22,98.82,5.45,99.13,40.1,48.64,53.42,48.94,24.52,97.06,67.37
133,1145,64,1209,2374.68,5.29,3.34,99.98,10.96,99.49,15.36,98.98,47.95,51.01,71.09,48.33,28.41,98.67,49.84
134,1163,57,1220,2288.04,4.67,3.24,100.02,19.71,99.6,0.0,98.04,41.86,50.13,75.48,48.6,33.23,97.75,48.68
135,1157,67,1224,2295.63,5.47,3.28,100.08,7.8,98.46,0.0,99.6,29.47,50.63,47.65,49.05,29.89,98.22,35.57
136,1150,77,1227,2300.56,6.28,3.35,100.04,8.57,99.68,5.73,99.24,54.3,47.78,36.29,51.24,10.21,97.15,37.85
137,1175,54,1229,2275.7,4.39,3.41,100.0,7.64,99.94,22.75,98.48,41.34,47.56,49.25,51.08,19.23,97.73,35.19
138,1145,75,1220,2297.73,6.15,3.26,100.0,32.37,99.47,8.36,99.16,31.0,47.19,68.48,52.14,11.75,98.5,52.63
139,1146,68,1214,2322.67,5.6,3.37,99.97,25.72,99.41,8.41,99.33,44.55,49.16,67.9,49.49,16.1,97.48,61.8
140,1153,60,1213,2339.04,4.95,3.22,100.03,19.43,99.7,8.66,98.66,28.64,50.36,42.22,46.82,9.23,97.02,44.26
141,1158,60,1218,2265.24,4.93,3.25,100.07,13.67,98.83,4.32,98.22,21.28,49.25,56.68,48.63,15.47,98.67,49.51
142,1156,59,1215,2335.98,4.86,3.22,100.03,5.17,99.28,9.26,98.56,48.44,45.49,28.46,51.83,11.21,97.13,30.89
143,1165,60,1225,2293.55,4.9,3.3,100.01,5.18,99.7,5.98,98.09,37.56,52.5,38.44,46.82,9.5,98.82,31.77
144,1167,58,1225,2295.42,4.73,3.23,100.01,20.18,99.49,15.49,98.28,34.43,51.29,57.43,47.72,50.57,98.04,23.39
145,1165,61,1226,2314.42,4.98,3.29,100.04,27.9,99.76,1.48,99.6,44.33,48.37,66.46,49.85,25.92,99.38,49.48
146,1155,69,1224,2310.87,5.64,3.25,100.01,7.8,99.29,15.46,99.37,50.66,49.97,45.24,49.62,38.52,97.08,39.38
